State,State_Prisons_rate,Federal_Prisons_rate,Local_Jails_rate,Youth_Facilities_rate,Involuntary_Commitment_rate,Probation_rate,Parole_rate,Total_Punishment_Rate
Alabama,496,67,272,16,3,831,149,1834
Alaska,632,57,11,35,1,341,113,1190
Arizona,467,46,179,8,3,936,93,1742
Arkansas,562,83,227,15,5,1349,757,2998
California,259,30,200,11,9,393,268,1170
Colorado,273,29,219,13,5,1219,174,1933
Connecticut,273,23,0,3,5,802,75,1181
Delaware,479,42,0,13,3,928,33,1498
Florida,368,59,276,9,9,818,17,1556
Georgia,436,60,368,10,4,3148,152,4178
Hawaii,283,58,0,4,9,1199,93,1646
Idaho,468,44,230,18,1,1375,350,2489
Illinois,224,48,132,7,9,671,167,1258
Indiana,363,49,284,17,2,1410,81,2206
Iowa,268,112,128,14,5,769,193,1489
Kansas,290,50,225,12,12,466,166,1221
Kentucky,412,70,322,13,1,1191,283,2292
Louisiana,564,54,447,15,0,556,397,2033
Maine,115,31,104,4,4,377,1,636
Maryland,245,65,188,8,12,875,137,1530
Massachusetts,88,18,119,4,4,541,20,794
Michigan,321,42,155,13,2,1110,109,1752
Minnesota,140,33,103,17,15,1441,118,1868
Mississippi,588,64,256,7,1,976,358,2252
Missouri,380,106,159,10,11,596,284,1546
Montana,390,114,151,12,5,837,125,1654
Nebraska,285,64,181,16,10,586,46,1189
Nevada,324,40,252,17,2,277,149,1062
New Hampshire,153,30,117,2,0,262,148,712
New Jersey,135,25,85,6,9,1292,160,1712
New Mexico,243,79,287,13,2,491,113,1234
New York,153,42,90,4,6,342,193,830
North Carolina,274,84,174,7,2,561,85,1187
North Dakota,217,108,161,10,4,756,80,1355
Ohio,383,39,162,15,4,1622,185,2410
Oklahoma,561,58,231,9,4,423,44,1330
Oregon,310,25,153,15,10,685,509,1708
Pennsylvania,286,42,219,12,2,720,596,1877
Rhode Island,204,19,0,10,0,1638,40,1911
South Carolina,303,69,226,12,8,467,74,1159
South Dakota,374,141,170,19,1,620,388,1737
Tennessee,316,96,371,5,2,785,177,1752
Texas,453,75,197,13,5,1140,339,2222
Utah,177,38,162,7,3,302,111,800
Vermont,199,32,0,3,0,406,123,763
Virginia,351,53,276,11,9,694,21,1415
Washington,177,30,132,9,7,795,147,1302
West Virginia,327,71,184,27,7,340,173,1129
Wisconsin,344,25,212,8,7,639,376,1612
Wyoming,366,109,243,25,4,853,144,1751
